date,confirmed,new_cases,smoothed_new_cases,zscore,anomaly
2020-06-13,7793395,135289.0,125299.85714285714,-0.7268916019047914,False
2020-06-14,7925679,132284.0,128145.71428571429,-0.7398256715914856,False
2020-06-15,8045337,119658.0,130597.28571428571,-0.794170285190221,False
2020-06-16,8187421,142084.0,133029.2857142857,-0.6976446789360438,False
2020-06-17,8331167,143746.0,134263.7142857143,-0.6904911269163148,False
2020-06-18,8472230,141063.0,134698.42857142858,-0.7020392497014729,False
2020-06-19,8652145,179915.0,142005.57142857142,-0.5348131347372664,False
2020-06-20,8809593,157448.0,145171.14285714287,-0.6315152124913287,False
2020-06-21,8937295,127702.0,144516.57142857142,-0.7595474377493666,False
2020-06-22,9076656,139361.0,147331.2857142857,-0.7093649690381629,False
2020-06-23,9243465,166809.0,150863.42857142858,-0.5912237561395337,False
2020-06-24,9416059,172594.0,154984.57142857142,-0.566324057924051,False
2020-06-25,9594440,178381.0,160315.7142857143,-0.5414157513427202,False
2020-06-26,9786037,191597.0,161984.57142857142,-0.4845316698188102,False
2020-06-27,9964169,178132.0,164939.42857142858,-0.5424874928908023,False
2020-06-28,10128040,163871.0,170106.42857142858,-0.6038694455703182,False
2020-06-29,10283387,155347.0,172390.14285714287,-0.6405583008147046,False
2020-06-30,10457929,174542.0,173494.85714285713,-0.5579395095880509,False
2020-07-01,10675536,217607.0,179925.2857142857,-0.3725798719649284,False
2020-07-02,10885481,209945.0,184434.42857142858,-0.4055585215288055,False
2020-07-03,11086866,201385.0,185832.7142857143,-0.4424023273584567,False
2020-07-04,11280675,193809.0,188072.2857142857,-0.4750108171908676,False
2020-07-05,11464678,184003.0,190948.2857142857,-0.5172176349438535,False
2020-07-06,11628653,163975.0,192180.85714285713,-0.6034218105462197,False
2020-07-07,11840015,211362.0,197440.85714285713,-0.3994594943254625,False
2020-07-08,12054174,214159.0,196948.2857142857,-0.3874206946869655,False
2020-07-09,12281001,226827.0,199360.0,-0.33289530540542095,False
2020-07-10,12513675,232674.0,203829.85714285713,-0.3077287478486487,False
2020-07-11,12730157,216482.0,207068.85714285713,-0.3774220777544562,False
2020-07-12,12922431,192274.0,208250.42857142858,-0.48161773797924545,False
2020-07-13,13113875,191444.0,212174.57142857142,-0.48519020980618593,False
2020-07-14,13336063,222188.0,213721.14285714287,-0.3528624099899714,False
2020-07-15,13567531,231468.0,216193.85714285713,-0.31291959245502243,False
2020-07-16,13818843,251312.0,219691.7142857143,-0.22750738651067687,False
2020-07-17,14061585,242742.0,221130.0,-0.2643942341695683,False
2020-07-18,14297763,236178.0,223943.7142857143,-0.2926468908828663,False
2020-07-19,14511197,213434.0,226966.57142857142,-0.3905412273068834,False
2020-07-20,14718313,207116.0,229205.42857142858,-0.41773505502087127,False
2020-07-21,14951994,233681.0,230847.2857142857,-0.30339443564415586,False
2020-07-22,15231862,279868.0,237761.57142857142,-0.10459713893222831,False
2020-07-23,15514716,282854.0,242267.57142857142,-0.09174484872109065,False
2020-07-24,15795790,281074.0,247743.57142857142,-0.09940629432585456,False
2020-07-25,16049844,254054.0,250297.2857142857,-0.2157053169330012,False
2020-07-26,16262970,213126.0,250253.2857142857,-0.391866915647483,False
2020-07-27,16489410,226440.0,253013.85714285713,-0.3345610241970185,False
2020-07-28,16742195,252785.0,255743.0,-0.22116732506358852,False
2020-07-29,17033923,291728.0,257437.2857142857,-0.053549529453295705,False
2020-07-30,17314023,280100.0,257043.85714285713,-0.1035985684938546,False
2020-07-31,17604767,290744.0,258425.2857142857,-0.05778484545053598,False
2020-08-01,17853105,248338.0,257608.7142857143,-0.24030802652672623,False
2020-08-02,18084097,230992.0,260161.0,-0.3149683835268582,False
2020-08-03,18290572,206475.0,257308.85714285713,-0.42049403627517107,False
2020-08-04,18548514,257942.0,258045.57142857142,-0.1989706537243933,False
2020-08-05,18825089,276575.0,255880.85714285713,-0.11877081330104156,False
2020-08-06,19110291,285202.0,256609.7142857143,-0.08163862721548071,False
2020-08-07,19392530,282239.0,255394.7142857143,-0.09439192121936582,False
2020-08-08,19651048,258518.0,256849.0,-0.19649144436015506,False
2020-08-09,19875731,224683.0,255947.7142857143,-0.3421234735945299,False
2020-08-10,20101760,226029.0,258741.14285714287,-0.33633004337879263,False
2020-08-11,20359330,257570.0,258688.0,-0.20057180977213046,False
2020-08-12,20635977,276647.0,258698.2857142857,-0.11846091213051178,False
2020-08-13,20925193,289216.0,259271.7142857143,-0.06436163695844568,False
2020-08-14,21228941,303748.0,262344.4285714286,-0.0018132507065191413,False
2020-08-15,21476649,247708.0,260800.14285714287,-0.24301966176886178,False
2020-08-16,21691119,214470.0,259341.14285714287,-0.38608209379759384,False
2020-08-17,21898851,207732.0,256727.2857142857,-0.4150836783396721,False
2020-08-18,22157107,258256.0,256825.2857142857,-0.19761914028624952,False
2020-08-19,22436697,279590.0,257245.7142857143,-0.10579370178510718,False
2020-08-20,22709057,272360.0,254837.7142857143,-0.13691294432580556,False
2020-08-21,22970176,261119.0,248747.85714285713,-0.1852962645747669,False
2020-08-22,23234450,264274.0,251114.42857142858,-0.17171656744946906,False
2020-08-23,23440631,206181.0,249930.2857142857,-0.42175946605483433,False
2020-08-24,23666030,225399.0,252454.14285714287,-0.3390416786209282,False
2020-08-25,23909839,243809.0,250390.2857142857,-0.25980167098963397,False
2020-08-26,24193826,283987.0,251018.42857142858,-0.08686820946817068,False
2020-08-27,24477571,283745.0,252644.85714285713,-0.08790982173578467,False
2020-08-28,24761333,283762.0,255879.57142857142,-0.08783665062607625,False
2020-08-29,25025089,263756.0,255805.57142857142,-0.17394613420411384,False
2020-08-30,25246073,220984.0,257920.2857142857,-0.35804464623049714,False
2020-08-31,25509089,263016.0,263294.14285714284,-0.1771312295678921,False
2020-09-01,25773879,264790.0,266291.4285714286,-0.16949560906067232,False
2020-09-02,26057375,283496.0,266221.28571428574,-0.0889815632838668,False
2020-09-03,26338776,281401.0,265886.4285714286,-0.09799882650969849,False
2020-09-04,26652858,314082.0,270217.85714285716,0.04266617563035182,False
2020-09-05,26922762,269904.0,271096.14285714284,-0.14748401758721016,False
2020-09-06,27153369,230607.0,272470.85714285716,-0.3166254939526077,False
2020-09-07,27371192,217823.0,266014.71428571426,-0.3716501684533391,False
2020-09-08,27613467,242275.0,262798.28571428574,-0.26640428759508783,False
2020-09-09,27898143,284676.0,262966.85714285716,-0.08390262743351769,False
2020-09-10,28198119,299976.0,265620.4285714286,-0.018048628695940205,False
2020-09-11,28519435,321316.0,266653.85714285716,0.0738026349027463,False
2020-09-12,28806077,286642.0,269045.0,-0.07544060380488518,False
2020-09-13,29048742,242665.0,270767.5714285714,-0.2647256562547182,False
2020-09-14,29312492,263750.0,277328.5714285714,-0.17397195930165799,False
2020-09-15,29598003,285511.0,283505.14285714284,-0.08030863469195709,False
2020-09-16,29902444,304441.0,286328.71428571426,0.0011695480598299564,False
2020-09-17,30217418,314974.0,288471.28571428574,0.04650550679858183,False
2020-09-18,30543298,325880.0,289123.28571428574,0.0934469257679949,False
2020-09-19,30835412,292114.0,289905.0,-0.05188811484462218,False
2020-09-20,31087514,252102.0,291253.14285714284,-0.22410708200069737,False
2020-09-21,31363667,276153.0,293025.0,-0.12058717849497998,False
2020-09-22,31648169,284502.0,292880.85714285716,-0.08465155526229798,False
2020-09-23,31924271,276102.0,288832.4285714286,-0.12080669182410524,False
2020-09-24,32277300,353029.0,294268.85714285716,0.21030118797234074,False
2020-09-25,32608163,330863.0,294980.71428571426,0.11489466927840984,False
2020-09-26,32896603,288440.0,294455.85714285716,-0.06770168290748882,False
2020-09-27,33148029,251426.0,294359.28571428574,-0.22701670965733806,False
2020-09-28,33402831,254802.0,291309.14285714284,-0.21248578810583074,False
2020-09-29,33685470,282639.0,291043.0,-0.09267024804975595,False
2020-09-30,34011679,326209.0,298201.14285714284,0.09486300194999903,False
2020-10-01,34329981,318302.0,293240.14285714284,0.06082982756973594,False
2020-10-02,34627744,297763.0,288511.5714285714,-0.027573785506806805,False
2020-10-03,34959847,332103.0,294749.14285714284,0.12023185610420044,False
2020-10-04,35221296,261449.0,296181.0,-0.18387588420983875,False
2020-10-05,35522336,301040.0,302786.4285714286,-0.013468978064777953,False
2020-10-06,35848799,326463.0,309047.0,0.09595626441270129,False
2020-10-07,36199818,351019.0,312591.28571428574,0.20164978029505115,False
2020-10-08,36561143,361325.0,318737.4285714286,0.24600868951004942,False
2020-10-09,36922017,360874.0,327753.28571428574,0.2440675030113143,False
2020-10-10,37279161,357144.0,331330.5714285714,0.22801290070470226,False
2020-10-11,37566032,286871.0,334962.28571428574,-0.07445494591528354,False
2020-10-12,37857832,291800.0,333642.28571428574,-0.053239628282765926,False
2020-10-13,38177076,319244.0,332611.0,0.06488436788416718,False
2020-10-14,38559423,382347.0,337086.4285714286,0.33649122293889605,False
2020-10-15,38966383,406960.0,343605.71428571426,0.44243007724791533,False
2020-10-16,39378173,411790.0,350879.4285714286,0.4632192807709545,False
2020-10-17,39750804,372631.0,353091.85714285716,0.2946717816490724,False
2020-10-18,40067379,316575.0,357335.28571428574,0.05339650365994533,False
2020-10-19,40454615,387236.0,370969.0,0.3575343732544527,False
2020-10-20,40843612,388997.0,380933.71428571426,0.36511403938366016,False
2020-10-21,41288477,444865.0,389864.85714285716,0.6055801309830705,False
2020-10-22,41761236,472759.0,399264.71428571426,0.7256410094658148,False
2020-10-23,42257967,496731.0,411399.14285714284,0.8288208825205342,False
2020-10-24,42714819,456852.0,423430.71428571426,0.6571743716933542,False
2020-10-25,43075442,360623.0,429723.28571428574,0.24298715309738408,False
2020-10-26,43561874,486432.0,443894.14285714284,0.7844921025860041,False
2020-10-27,44032055,470181.0,455491.85714285716,0.7145448258876792,False
2020-10-28,44543939,511884.0,465066.0,0.89404216636828,False
2020-10-29,45094401,550462.0,476166.4285714286,1.0600889352113039,False
2020-10-30,45665342,570941.0,486767.85714285716,1.1482342973124051,False
2020-10-31,46142191,476849.0,489624.5714285714,0.7432451176250756,False
2020-11-01,46604645,462454.0,504171.85714285716,0.6812864044337406,False
2020-11-02,47167772,563127.0,515128.28571428574,1.1146014119440764,False
2020-11-03,47721517,553745.0,527066.0,1.0742195677508768,False
2020-11-04,48233069,511552.0,527018.5714285715,0.8926131776375039,False
2020-11-05,48829627,596558.0,533603.7142857143,1.2584945512771453,False
2020-11-06,49474481,644854.0,544162.7142857143,1.4663693697758406,False
2020-11-07,50071231,596750.0,561291.4285714285,1.259320954398558,False
2020-11-08,50555347,484116.0,564386.0,0.7745236149339629,False
2020-11-09,51056879,501532.0,555586.7142857143,0.8494852647387766,False
2020-11-10,51616256,559377.0,556391.2857142857,1.0984607259789838,False
2020-11-11,52264862,648606.0,575970.4285714285,1.4825186641067813,False
2020-11-12,52914405,649543.0,583539.7142857143,1.4865516835065924,False
2020-11-13,53566478,652073.0,584571.0,1.4974412663043748,False
2020-11-14,54161448,594970.0,584316.7142857143,1.251659508793794,False
2020-11-15,54635389,473941.0,582863.1428571428,0.730728553682012,False
2020-11-16,55169846,534457.0,587566.7142857143,0.991200487512289,False
2020-11-17,55781066,611220.0,594972.8571428572,1.3216024813091949,False
2020-11-18,56408169,627103.0,591901.0,1.3899658186914787,False
2020-11-19,57061754,653585.0,592478.4285714285,1.5039491908855,False
2020-11-20,57730498,668744.0,594860.0,1.5691962998307902,False
2020-11-21,58318062,587564.0,593802.0,1.2197827300584672,False
2020-11-22,58806043,487981.0,595807.7142857143,0.7911592819353183,False
2020-11-23,59331362,525319.0,594502.2857142857,0.9518688639525515,False
2020-11-24,59921623,590261.0,591508.1428571428,1.2313911114045617,False
2020-11-25,60557847,636224.0,592811.1428571428,1.4292242711415077,False
2020-11-26,61140322,582475.0,582652.5714285715,1.1978787431581057,False
2020-11-27,61827470,687148.0,585281.7142857143,1.6484104823645402,False
2020-11-28,62413501,586031.0,585062.7142857143,1.2131844176359374,False
2020-11-29,62902084,488583.0,585148.7142857143,0.7937504000555812,False
2020-11-30,63410725,508641.0,582766.1428571428,0.880083701145668,False
2020-12-01,64022822,612097.0,585885.5714285715,1.3253772497335645,False
2020-12-02,64674220,651398.0,588053.2857142857,1.4945359428306582,False
2020-12-03,65368548,694328.0,604032.2857142857,1.6793145157590375,False
2020-12-04,66051824,683276.0,603479.1428571428,1.6317446860827167,False
2020-12-05,66693987,642163.0,611498.0,1.4547868135272903,False
2020-12-06,67232741,538754.0,618665.2857142857,1.009695561536823,False
2020-12-07,67752760,520019.0,620290.7142857143,0.9290566944552208,False
2020-12-08,68396288,643528.0,624780.8571428572,1.460662023218584,False
2020-12-09,69066199,669911.0,627425.5714285715,1.574219281303127,False
2020-12-10,70564412,1498213.0,742266.2857142857,5.139382605638611,True
2020-12-11,71268905,704493.0,745297.2857142857,1.7230665351817482,False
2020-12-12,71903752,634847.0,744252.1428571428,1.4232974112551258,False
2020-12-13,72434583,530831.0,743120.2857142857,0.9755935202297755,False
2020-12-14,72958973,524390.0,743744.7142857143,0.9478702780161327,False
2020-12-15,73596153,637180.0,742837.8571428572,1.4333390700168753,False
2020-12-16,74329873,733720.0,751953.4285714285,1.8488648895022173,False
2020-12-17,75069447,739574.0,643576.4285714285,1.8740615763394577,False
2020-12-18,75789899,720452.0,645856.2857142857,1.7917569904662578,False
2020-12-19,76401140,611241.0,642484.0,1.3216928691505994,False
2020-12-20,76934590,533450.0,642858.1428571428,0.9868661753077962,False
2020-12-21,77483871,549281.0,646414.0,1.0550056951780307,False
2020-12-22,78134117,650246.0,648280.5714285715,1.4895775241021818,False
2020-12-23,78829225,695108.0,642764.5714285715,1.6826717784397767,False
2020-12-24,79495854,666629.0,632343.8571428572,1.560092952946478,False
2020-12-25,79961404,465550.0,595929.2857142857,0.6946121547665209,False
2020-12-26,80473986,512582.0,581835.1428571428,0.8970464860492493,False
2020-12-27,80912425,438439.0,568262.1428571428,0.577921451513288,False
2020-12-28,81408718,496293.0,560692.4285714285,0.8269356503998114,False
2020-12-29,82073125,664407.0,562715.4285714285,1.5505290584892952,False
2020-12-30,82834330,761205.0,572157.8571428572,1.9671653571690353,False
2020-12-31,83559328,724998.0,580496.2857142857,1.811323806038874,False
2021-01-01,84092346,533018.0,590134.5714285715,0.9850067682846175,False
2021-01-02,84718690,626344.0,606386.2857142857,1.386698943852144,False
2021-01-03,85251471,532781.0,619863.7142857143,0.9839866769316237,False
2021-01-04,85805572,554101.0,628122.0,1.0757518568718296,False
2021-01-05,86545682,740110.0,638936.7142857143,1.876368618386735,False
2021-01-06,87329035,783353.0,642100.7142857143,2.062494400570334,True
2021-01-07,88209847,880812.0,664359.8571428572,2.481975764162854,True
